period,demand,DC_jobs,DC_idle_energy,DC_active_energy,DC_energy,DC_op_co2,DC_emb_co2,DC_idle_co2,SDC_jobs,SDC_idle_energy,SDC_active_energy,SDC_energy,SDC_op_co2,SDC_emb_co2,SDC_idle_co2,EDGE_ZONE1_jobs,EDGE_ZONE1_idle_energy,EDGE_ZONE1_active_energy,EDGE_ZONE1_energy,EDGE_ZONE1_op_co2,EDGE_ZONE1_emb_co2,EDGE_ZONE1_idle_co2,EDGE_ZONE2_jobs,EDGE_ZONE2_idle_energy,EDGE_ZONE2_active_energy,EDGE_ZONE2_energy,EDGE_ZONE2_op_co2,EDGE_ZONE2_emb_co2,EDGE_ZONE2_idle_co2,EDGE_ZONE3_jobs,EDGE_ZONE3_idle_energy,EDGE_ZONE3_active_energy,EDGE_ZONE3_energy,EDGE_ZONE3_op_co2,EDGE_ZONE3_emb_co2,EDGE_ZONE3_idle_co2,total_energy,total_co2
1,677290.8366533865,677290.836653386,3.94575770990114,18.2115980522355,22.157355762136643,0.37151660026560424,0.1254242290098863,0.08049345728198326,0.0,31.23,0.0,31.23,0.0,0.0,3.3978240000000004,0.0,16.6665,0.0,16.6665,0.0,0.0,2.1533118,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,3.8316283499999995,0,10.308528286557474
2,677290.8366533865,677290.836653386,3.94575770990114,18.2115980522355,22.157355762136643,0.37151660026560424,0.1254242290098863,0.08049345728198326,0.0,31.23,0.0,31.23,0.0,0.0,3.3978240000000004,0.0,16.6665,0.0,16.6665,0.0,0.0,2.1533118,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,3.8157951749999994,0,10.292695111557473
3,677290.8366533865,677290.836653386,3.94575770990114,18.2115980522355,22.157355762136643,0.3660531208499336,0.1254242290098863,0.07930972996901292,0.0,31.23,0.0,31.23,0.0,0.0,3.3478560000000006,0.0,16.6665,0.0,16.6665,0.0,0.0,2.12164545,0.0,16.6665,0.0,16.6665,0.0,0.0,0.332496675,0.0,16.6665,0.0,16.6665,0.0,0.0,3.7524624749999997,0,10.125247679828833
4,1015936.2549800795,1015936.25498008,3.3186365648517,27.3173970783532,30.6360336432049,0.5408844621513933,0.18813634351482963,0.06570900398406367,0.0,31.23,0.0,31.23,0.0,0.0,3.2978880000000004,0.0,16.6665,0.0,16.6665,0.0,0.0,2.0899791,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,3.7366292999999997,0,10.267556059650286
5,1354581.673306773,1354581.67330677,2.69151541980227,36.423196104471,39.114711524273275,0.7211792828685258,0.2508484580197722,0.05329200531208495,0.0,31.23,0.0,31.23,0.0,0.0,3.2978880000000004,0.0,16.6665,0.0,16.6665,0.0,0.0,2.0899791,0.0,16.6665,0.0,16.6665,0.0,0.0,0.332496675,0.0,16.6665,0.0,16.6665,0.0,0.0,3.70496295,0,10.450646471200383
6,1693227.091633466,1693227.09163347,2.06439427475284,45.5289951305888,47.59338940534164,0.9083034528552465,0.3135605725247167,0.04118466578131916,0.0,31.23,0.0,31.23,0.0,0.0,3.3228720000000003,0.0,16.6665,0.0,16.6665,0.0,0.0,2.105812275,0.0,16.6665,0.0,16.6665,0.0,0.0,0.332496675,0.0,16.6665,0.0,16.6665,0.0,0.0,3.7207961249999997,0,10.745025766161282
7,2709163.346613546,2246400.0,1.04,60.4032,61.4432,1.2141043200000001,0.41600000000000004,0.020904000000000002,462763.346613546,27.3736387782205,53.9890571049137,81.3626958831342,5.787626921646749,5.855955929368947,2.934454077025238,0.0,16.6665,0.0,16.6665,0.0,0.0,2.12164545,0.0,16.6665,0.0,16.6665,0.0,0.0,0.332496675,0.0,16.6665,0.0,16.6665,0.0,0.0,3.70496295,0,22.388150323040932
8,3386454.183266932,2246400.0,1.04,60.4032,61.4432,1.25940672,0.41600000000000004,0.021684000000000002,1140054.18326693,21.7295484727756,133.006321381142,154.7358698539176,14.790302937582991,14.426611578377816,2.4163257901726474,0.0,16.6665,0.0,16.6665,0.0,0.0,2.200811325,0.0,16.6665,0.0,16.6665,0.0,0.0,0.34832984999999994,0.0,16.6665,0.0,16.6665,0.0,0.0,3.7682956499999998,0,39.64776785113345
9,4063745.019920318,2246400.0,1.04,60.4032,61.4432,1.27752768,0.41600000000000004,0.021995999999999998,1817345.01992032,16.0854581673307,212.02358565737,228.1090438247007,23.916260462151335,22.997267227386768,1.8144396812749026,0.0,16.6665,0.0,16.6665,0.0,0.0,2.2324776749999997,0.0,16.6665,0.0,16.6665,0.0,0.0,0.364163025,0.0,16.6665,0.0,16.6665,0.0,0.0,3.8157951749999994,0,56.855926925813
10,4741035.856573705,2246400.0,1.04,60.4032,61.4432,1.35001152,0.41600000000000004,0.023243999999999997,2248560.0,12.492,262.332,274.824,31.2699744,28.454,1.4890464,0.0,16.6665,0.0,16.6665,0.0,0.0,2.3591430749999995,246075.856573705,11.1981476316955,218.734094732182,229.9322423638775,4.779339969898176,10.936704736609112,0.24467952575254667,0.0,16.6665,0.0,16.6665,0.0,0.0,3.9582937499999997,0,85.28043737725983
11,5079681.274900398,2246400.0,1.04,60.4032,61.4432,1.38625344,0.41600000000000004,0.023868,2248560.0,12.492,262.332,274.824,32.1094368,28.454,1.5290208,0.0,16.6665,0.0,16.6665,0.0,0.0,2.4224757749999997,584721.274900398,3.67269389110226,519.75224435591,523.4249382470123,10.862821907038517,25.98761221779547,0.07675930232403723,0.0,16.6665,0.0,16.6665,0.0,0.0,4.0532927999999995,0,107.32154104215802
